////////////////////////////////////////////////////////////////////////////////			
// Cash Shop Packages File							
// www.muemu.pl		
// © 2017 MUEMU
// FULLY COMPATIBLE WITH X6 X9 SERVER EMULATOR
//------------------------------------------------------------------------------
////////////////////////////////////////////////////////////////////////////////
// GUID - In-File index
// iINDEX - ITEM INDEX (gs log)
// iSUBINDEX - ITEM SUBINDEX  (gs log)
// iOPT - ITEM OPT  (gs log)
// pID - PACKAGE ID [if not package, is 0. else 1..2..3..]
// COIN - COIN TYPE	[0=WCoinC, 1=G Coin(IGCN Cash Shop), 2=GoblinPoint]
// iPrice - Price for the Item
// UNIQUE2 - UNIQUE ID 2 (Index from IBSPackage 1st column)
// UNIQUE3 - UNIQUE ID 3
// Cat - Category [see in gs log (Category: X)]
// iGP - Goblin Points (if u buy item u will gain GP)
// ISale -can/cannot sale item in shop
// iRand - for random select item from package (value '1' can be used for pckages only!!!)
//--------------------------------------
//Items that dont work:
// + CoinP([Scroll of Protection])
// + [Chaos Card BLUE] Package
// + [Skill Book Package for X] ( X = [Magic Gladiator, Fairy Elf, Rage Fighter, Summoner, Dark Wizard, Dark Knight])
//--------------------------------------

//**Special -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//=======================================================================================================================================================================================================================================
//GUID	iINDEX	iSUBINX	iOPT	pID	cType	iPrice	iInfoGD	iInfoID	iCat	iGP	iSale	iRand	iDescription
//=======================================================================================================================================================================================================================================
1
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	493	508	672	0	0	190	585	672	13	0	1	0	//[Discount]Gold Channel Ticket
1	493	508	673	0	0	400	585	673	13	0	1	0	//[Discount]Gold Channel Ticket
2	493	508	674	0	0	600	585	674	13	0	1	0	//[Discount]Gold Channel Ticket
3	493	508	675	0	0	1600	585	675	13	0	1	0	//[Discount]Gold Channel Ticket
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4	145	508	0	1	0	1570	0	0	13	0	1	0	//Level up (Master)
5	143	508	0	2	0	1570	0	0	13	0	1	0	//Level up (normal)
6	260	508	0	0	0	690	281	349	13	0	1	0	//Magic Backpack
7	258	508	0	0	0	2490	282	350	13	0	1	0	//Vault Expansion Cert
8	187	508	0	0	0	0	0	0	13	0	1	0	//Premium Service (via Web)
9	162	508	0	3	0	500	0	0	13	0	1	0	//Gladiator Package
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10	98	508	37	0	0	50	22	37	13	0	1	0	//Talisman of Luck
11	98	508	38	0	0	200	22	38	13	0	1	0	//Talisman of Luck
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12	114	508	0	0	0	250	14	24	13	0	1	0	//Reset Fruit Strength
13	112	508	0	0	0	250	15	25	13	0	1	0	//Reset Fruit Quickness
14	110	508	0	0	0	250	16	26	13	0	1	0	//Reset Fruit Health
15	108	508	0	0	0	250	17	27	13	0	1	0	//Reset Fruit Energy
16	106	508	0	0	0	250	18	28	13	0	1	0	//Reset Fruit Control
17	263	508	0	0	0	500	284	353	13	0	1	0	//Rage Fighter Char Card
18	126	508	0	0	0	500	31	53	13	0	1	0	//Summoner Char Card

//**Accessory ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//=======================================================================================================================================================================================================================================
//GUID	iINDEX	iSUBINX	iOPT	pID	cType	iPrice	iInfoGD	iInfoID	iCat	iGP	iSale	iRand	iDescription
//=======================================================================================================================================================================================================================================
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
19	70	508	0	0	0	50	40	66	14	0	1	0	//Talisman of Resurrection
20	68	508	0	0	0	40	41	67	14	0	1	0	//Talisman of Mobility

//**Buff --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//=======================================================================================================================================================================================================================================
//GUID	iINDEX	iSUBINX	iOPT	pID	cType	iPrice	iInfoGD	iInfoID	iCat	iGP	iSale	iRand	iDescription
//=======================================================================================================================================================================================================================================
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21	122	508	13	0	0	150	10	13	22	0	1	0	//Seal of Wealth
22	122	508	14	0	0	350	10	14	22	0	1	0	//Seal of Wealth
23	122	508	15	0	0	700	10	15	22	0	1	0	//Seal of Wealth
24	122	508	16	0	0	2100	10	16	22	0	1	0	//Seal of Wealth
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
25	124	508	9	0	0	100	9	9	22	0	1	0	//Seal of Ascension
26	124	508	10	0	0	250	9	10	22	0	1	0	//Seal of Ascension
27	124	508	11	0	0	500	9	11	22	0	1	0	//Seal of Ascension
28	124	508	12	0	0	1400	9	12	22	0	1	0	//Seal of Ascension
//---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
29	48	508	80	0	0	150	51	80	22	0	1	0	//Master Seal of Wealth
30	48	508	81	0	0	700	51	81	22	0	1	0	//Master Seal of Wealth
31	48	508	82	0	0	2100	51	82	22	0	1	0	//Master Seal of Wealth
